Skill,Parent,Group,Type
Data Lake,Big Data Technologies,AI engineer,Sub-sub-skill
Pig,Big Data Technologies,AI engineer,Sub-sub-skill
Big Data Technologies,Model Deployment,AI engineer,Sub-skill
REST APIs,Model Serving,AI engineer,Sub-sub-skill
Serverless Deployment,Model Serving,AI engineer,Sub-sub-skill
gRPC,Model Serving,AI engineer,Sub-sub-skill
Model Versioning,Model Serving,AI engineer,Sub-sub-skill
Docker,Model Serving,AI engineer,Sub-sub-skill
Monitoring and Logging,Model Serving,AI engineer,Sub-sub-skill
Kubernetes,Model Serving,AI engineer,Sub-sub-skill
Model Serving,Model Deployment,AI engineer,Sub-skill
Model Optimization for Edge Devices,Edge Computing,AI engineer,Sub-sub-skill
Edge Deployment Platforms,Edge Computing,AI engineer,Sub-sub-skill
TensorFlow Lite,Edge Computing,AI engineer,Sub-sub-skill
Federated Learning,Edge Computing,AI engineer,Sub-sub-skill
Core ML,Edge Computing,AI engineer,Sub-sub-skill
Privacy-Preserving AI,Edge Computing,AI engineer,Sub-sub-skill
ONNX,Edge Computing,AI engineer,Sub-sub-skill
Edge Computing,Model Deployment,AI engineer,Sub-skill
Cloud Computing,AI Engineer,AI engineer,Skill
Performance Monitoring,Model Monitoring and Maintenance,AI engineer,Sub-sub-skill
Explainable AI (XAI),Model Monitoring and Maintenance,AI engineer,Sub-sub-skill
Data Drift Detection,Model Monitoring and Maintenance,AI engineer,Sub-sub-skill
Bias Detection and Mitigation,Model Monitoring and Maintenance,AI engineer,Sub-sub-skill
Model Retraining,Model Monitoring and Maintenance,AI engineer,Sub-sub-skill
Security Vulnerabilities,Model Monitoring and Maintenance,AI engineer,Sub-sub-skill
A/B Testing,Model Monitoring and Maintenance,AI engineer,Sub-sub-skill
Model Monitoring and Maintenance,Cloud Computing,AI engineer,Sub-skill
Amazon Web Services (AWS),Cloud Platforms,AI engineer,Sub-sub-skill
"Cloud Services (Compute, Storage, Networking)",Cloud Platforms,AI engineer,Sub-sub-skill
Microsoft Azure,Cloud Platforms,AI engineer,Sub-sub-skill
Cloud Security,Cloud Platforms,AI engineer,Sub-sub-skill
Google Cloud Platform (GCP),Cloud Platforms,AI engineer,Sub-sub-skill
Cloud Cost Management,Cloud Platforms,AI engineer,Sub-sub-skill
Cloud Infrastructure,Cloud Platforms,AI engineer,Sub-sub-skill
Cloud Platforms,Cloud Computing,AI engineer,Sub-skill
AWS SageMaker,AI Services on Cloud,AI engineer,Sub-sub-skill
Pre-trained Models,AI Services on Cloud,AI engineer,Sub-sub-skill
Azure Machine Learning,AI Services on Cloud,AI engineer,Sub-sub-skill
Cloud GPUs and TPUs,AI Services on Cloud,AI engineer,Sub-sub-skill
Google AI Platform,AI Services on Cloud,AI engineer,Sub-sub-skill
Cloud Data Storage,AI Services on Cloud,AI engineer,Sub-sub-skill
Cloud AutoML,AI Services on Cloud,AI engineer,Sub-sub-skill
AI Services on Cloud,Cloud Computing,AI engineer,Sub-skill
Ethics and Responsible AI,AI Engineer,AI engineer,Skill
CI/CD Pipelines,DevOps for AI,AI engineer,Sub-sub-skill
Monitoring and Alerting,DevOps for AI,AI engineer,Sub-sub-skill
Infrastructure as Code (IaC),DevOps for AI,AI engineer,Sub-sub-skill
Automation,DevOps for AI,AI engineer,Sub-sub-skill
Containerization,DevOps for AI,AI engineer,Sub-sub-skill
Collaboration,DevOps for AI,AI engineer,Sub-sub-skill
Orchestration,DevOps for AI,AI engineer,Sub-sub-skill
DevOps for AI,Ethics and Responsible AI,AI engineer,Sub-skill
Bias Detection,Bias and Fairness,AI engineer,Sub-sub-skill
Data Diversity,Bias and Fairness,AI engineer,Sub-sub-skill
Bias Mitigation Techniques,Bias and Fairness,AI engineer,Sub-sub-skill
Responsible Data Collection,Bias and Fairness,AI engineer,Sub-sub-skill
Fairness Metrics,Bias and Fairness,AI engineer,Sub-sub-skill
Ethical Considerations,Bias and Fairness,AI engineer,Sub-sub-skill
Algorithmic Auditing,Bias and Fairness,AI engineer,Sub-sub-skill
Bias and Fairness,Ethics and Responsible AI,AI engineer,Sub-skill
"Data Privacy Regulations (GDPR, CCPA)",Privacy and Security,AI engineer,Sub-sub-skill
Secure Multi-Party Computation,Privacy and Security,AI engineer,Sub-sub-skill
Differential Privacy,Privacy and Security,AI engineer,Sub-sub-skill
Data Anonymization,Privacy and Security,AI engineer,Sub-sub-skill
Federated Learning,Privacy and Security,AI engineer,Sub-sub-skill
Security Best Practices,Privacy and Security,AI engineer,Sub-sub-skill
Homomorphic Encryption,Privacy and Security,AI engineer,Sub-sub-skill
Privacy and Security,Ethics and Responsible AI,AI engineer,Sub-skill
Advanced Topics,AI Engineer,AI engineer,Skill
Explainable AI (XAI) Techniques,Explainability and Transparency,AI engineer,Sub-sub-skill
Accountability,Explainability and Transparency,AI engineer,Sub-sub-skill
Model Interpretability,Explainability and Transparency,AI engineer,Sub-sub-skill
Human-Centered AI,Explainability and Transparency,AI engineer,Sub-sub-skill
Transparency in AI Systems,Explainability and Transparency,AI engineer,Sub-sub-skill
Ethical Frameworks,Explainability and Transparency,AI engineer,Sub-sub-skill
Trustworthy AI,Explainability and Transparency,AI engineer,Sub-sub-skill
Explainability and Transparency,Advanced Topics,AI engineer,Sub-skill
Domain Adaptation,Transfer Learning,AI engineer,Sub-sub-skill
Zero-Shot Learning,Transfer Learning,AI engineer,Sub-sub-skill
Fine-tuning,Transfer Learning,AI engineer,Sub-sub-skill
Multi-Task Learning,Transfer Learning,AI engineer,Sub-sub-skill
Meta-Learning,Transfer Learning,AI engineer,Sub-sub-skill
Curriculum Learning,Transfer Learning,AI engineer,Sub-sub-skill
Few-Shot Learning,Transfer Learning,AI engineer,Sub-sub-skill
Transfer Learning,Advanced Topics,AI engineer,Sub-skill
Variational Autoencoders (VAEs),Generative Models,AI engineer,Sub-sub-skill
Diffusion Models,Generative Models,AI engineer,Sub-sub-skill
Generative Adversarial Networks (GANs),Generative Models,AI engineer,Sub-sub-skill
Energy-Based Models,Generative Models,AI engineer,Sub-sub-skill
Normalizing Flows,Generative Models,AI engineer,Sub-sub-skill
"Applications in Image Generation, Text Generation, and Data Augmentation",Generative Models,AI engineer,Sub-sub-skill
Autoregressive Models,Generative Models,AI engineer,Sub-sub-skill
Generative Models,Advanced Topics,AI engineer,Sub-skill
Research and Development,AI Engineer,AI engineer,Skill
Graph Theory Basics,Graph Neural Networks,AI engineer,Sub-sub-skill
Message Passing Neural Networks,Graph Neural Networks,AI engineer,Sub-sub-skill
Graph Convolutional Networks (GCNs),Graph Neural Networks,AI engineer,Sub-sub-skill
Graph Embeddings,Graph Neural Networks,AI engineer,Sub-sub-skill
Graph Attention Networks (GATs),Graph Neural Networks,AI engineer,Sub-sub-skill
"Applications in Social Networks, Knowledge Graphs, and Drug Discovery",Graph Neural Networks,AI engineer,Sub-sub-skill
Graph Neural Networks,Research and Development,AI engineer,Sub-skill
Identifying Key Papers,Reading Research Papers,AI engineer,Sub-sub-skill
Staying Up-to-Date,Reading Research Papers,AI engineer,Sub-sub-skill
Understanding Methodologies,Reading Research Papers,AI engineer,Sub-sub-skill
Conference Proceedings,Reading Research Papers,AI engineer,Sub-sub-skill
Evaluating Results,Reading Research Papers,AI engineer,Sub-sub-skill
Journal Publications,Reading Research Papers,AI engineer,Sub-sub-skill
Literature Reviews,Reading Research Papers,AI engineer,Sub-sub-skill
Reading Research Papers,Research and Development,AI engineer,Sub-skill
Experimental Design,Experimentation and Validation,AI engineer,Sub-sub-skill
Error Analysis,Experimentation and Validation,AI engineer,Sub-sub-skill
Hypothesis Testing,Experimentation and Validation,AI engineer,Sub-sub-skill
Reproducibility,Experimentation and Validation,AI engineer,Sub-sub-skill
Statistical Significance,Experimentation and Validation,AI engineer,Sub-sub-skill
Benchmarking,Experimentation and Validation,AI engineer,Sub-sub-skill
Ablation Studies,Experimentation and Validation,AI engineer,Sub-sub-skill
Experimentation and Validation,Research and Development,AI engineer,Sub-skill
Open Source Projects,Contributing to the Field,AI engineer,Sub-sub-skill
Community Engagement,Contributing to the Field,AI engineer,Sub-sub-skill
Publishing Research,Contributing to the Field,AI engineer,Sub-sub-skill
Knowledge Sharing,Contributing to the Field,AI engineer,Sub-sub-skill
Participating in Competitions,Contributing to the Field,AI engineer,Sub-sub-skill
Innovation,Contributing to the Field,AI engineer,Sub-sub-skill
Collaboration,Contributing to the Field,AI engineer,Sub-sub-skill
Contributing to the Field,Research and Development,AI engineer,Sub-skill
