Skill,Parent,Group,Type
Using Context for Authentication,Context API,Frontend,Sub-sub-skill
Context Providers,Context API,Frontend,Sub-sub-skill
Context with Reducers,Context API,Frontend,Sub-sub-skill
Context Consumers,Context API,Frontend,Sub-sub-skill
Context Best Practices,Context API,Frontend,Sub-sub-skill
Using Context for Themeing,Context API,Frontend,Sub-sub-skill
Context API,Testing,Frontend,Sub-skill
Jest,Unit Testing,Frontend,Sub-sub-skill
Test-Driven Development (TDD),Unit Testing,Frontend,Sub-sub-skill
Mocha,Unit Testing,Frontend,Sub-sub-skill
Mocking,Unit Testing,Frontend,Sub-sub-skill
Jasmine,Unit Testing,Frontend,Sub-sub-skill
Assertions,Unit Testing,Frontend,Sub-sub-skill
Unit Testing,Testing,Frontend,Sub-skill
Styling,Frontend Development,Frontend,Skill
Cypress,Integration Testing,Frontend,Sub-sub-skill
End-to-End Testing,Integration Testing,Frontend,Sub-sub-skill
Selenium,Integration Testing,Frontend,Sub-sub-skill
UI Testing,Integration Testing,Frontend,Sub-sub-skill
Puppeteer,Integration Testing,Frontend,Sub-sub-skill
Testing Frameworks,Integration Testing,Frontend,Sub-sub-skill
Integration Testing,Styling,Frontend,Sub-skill
Styled Components,CSS-in-JS,Frontend,Sub-sub-skill
Aphrodite,CSS-in-JS,Frontend,Sub-sub-skill
Emotion,CSS-in-JS,Frontend,Sub-sub-skill
Themeing,CSS-in-JS,Frontend,Sub-sub-skill
JSS,CSS-in-JS,Frontend,Sub-sub-skill
Performance Considerations,CSS-in-JS,Frontend,Sub-sub-skill
Radium,CSS-in-JS,Frontend,Sub-sub-skill
CSS-in-JS,Styling,Frontend,Sub-skill
Server-Side Rendering (SSR),Frontend Development,Frontend,Skill
Local Scoping,CSS Modules,Frontend,Sub-sub-skill
Integration with Build Tools,CSS Modules,Frontend,Sub-sub-skill
Composition,CSS Modules,Frontend,Sub-sub-skill
Benefits and Drawbacks,CSS Modules,Frontend,Sub-sub-skill
Global Styles,CSS Modules,Frontend,Sub-sub-skill
Best Practices,CSS Modules,Frontend,Sub-sub-skill
CSS Module Configuration,CSS Modules,Frontend,Sub-sub-skill
CSS Modules,Server-Side Rendering (SSR),Frontend,Sub-skill
Next.js Pages,Next.js,Frontend,Sub-sub-skill
SEO Optimization,Next.js,Frontend,Sub-sub-skill
"Data Fetching (getServerSideProps, getStaticProps)",Next.js,Frontend,Sub-sub-skill
Performance Optimization,Next.js,Frontend,Sub-sub-skill
API Routes,Next.js,Frontend,Sub-sub-skill
Next.js Configuration,Next.js,Frontend,Sub-sub-skill
Deployment,Next.js,Frontend,Sub-sub-skill
Next.js,Server-Side Rendering (SSR),Frontend,Sub-skill
Static Site Generation (SSG),Frontend Development,Frontend,Skill
Nuxt.js Pages,Nuxt.js,Frontend,Sub-sub-skill
Deployment,Nuxt.js,Frontend,Sub-sub-skill
"Data Fetching (asyncData, fetch)",Nuxt.js,Frontend,Sub-sub-skill
SEO Optimization,Nuxt.js,Frontend,Sub-sub-skill
Middleware,Nuxt.js,Frontend,Sub-sub-skill
Performance Optimization,Nuxt.js,Frontend,Sub-sub-skill
Modules,Nuxt.js,Frontend,Sub-sub-skill
Nuxt.js,Static Site Generation (SSG),Frontend,Sub-skill
Gatsby Plugins,Gatsby,Frontend,Sub-sub-skill
SEO Optimization,Gatsby,Frontend,Sub-sub-skill
GraphQL Data Layer,Gatsby,Frontend,Sub-sub-skill
Performance Optimization,Gatsby,Frontend,Sub-sub-skill
Gatsby Themes,Gatsby,Frontend,Sub-sub-skill
Gatsby Configuration,Gatsby,Frontend,Sub-sub-skill
Deployment,Gatsby,Frontend,Sub-sub-skill
Gatsby,Static Site Generation (SSG),Frontend,Sub-skill
Accessibility,Frontend Development,Frontend,Skill
Hugo Templates,Hugo,Frontend,Sub-sub-skill
SEO Optimization,Hugo,Frontend,Sub-sub-skill
Hugo Shortcodes,Hugo,Frontend,Sub-sub-skill
Performance Optimization,Hugo,Frontend,Sub-sub-skill
Hugo Themes,Hugo,Frontend,Sub-sub-skill
Hugo Configuration,Hugo,Frontend,Sub-sub-skill
Deployment,Hugo,Frontend,Sub-sub-skill
Hugo,Accessibility,Frontend,Sub-skill
Performance Optimization,Frontend Development,Frontend,Skill
ARIA Attributes,Web Accessibility Standards (WCAG),Frontend,Sub-sub-skill
Color Contrast,Web Accessibility Standards (WCAG),Frontend,Sub-sub-skill
Semantic HTML,Web Accessibility Standards (WCAG),Frontend,Sub-sub-skill
Accessible Forms,Web Accessibility Standards (WCAG),Frontend,Sub-sub-skill
Keyboard Navigation,Web Accessibility Standards (WCAG),Frontend,Sub-sub-skill
Accessibility Testing,Web Accessibility Standards (WCAG),Frontend,Sub-sub-skill
Screen Reader Compatibility,Web Accessibility Standards (WCAG),Frontend,Sub-sub-skill
Web Accessibility Standards (WCAG),Performance Optimization,Frontend,Sub-skill
Progressive Web Apps (PWAs),Frontend Development,Frontend,Skill
Lazy Loading,Code Splitting,Frontend,Sub-sub-skill
Caching,Code Splitting,Frontend,Sub-sub-skill
Tree Shaking,Code Splitting,Frontend,Sub-sub-skill
Image Optimization,Code Splitting,Frontend,Sub-sub-skill
Minification,Code Splitting,Frontend,Sub-sub-skill
Performance Auditing (Lighthouse),Code Splitting,Frontend,Sub-sub-skill
Compression,Code Splitting,Frontend,Sub-sub-skill
Code Splitting,Progressive Web Apps (PWAs),Frontend,Sub-skill
Caching Strategies,Service Workers,Frontend,Sub-sub-skill
Offline Support,Service Workers,Frontend,Sub-sub-skill
Push Notifications,Service Workers,Frontend,Sub-sub-skill
PWA Best Practices,Service Workers,Frontend,Sub-sub-skill
Background Sync,Service Workers,Frontend,Sub-sub-skill
PWA Deployment,Service Workers,Frontend,Sub-sub-skill
Web App Manifest,Service Workers,Frontend,Sub-sub-skill
Service Workers,Progressive Web Apps (PWAs),Frontend,Sub-skill
