Skill,Parent,Group,Type
"Performance Metrics (Accuracy, Precision, Recall, F1-Score, AUC-ROC)",Model Evaluation and Selection,Data scientist,Sub-sub-skill
"Model Interpretability (SHAP, LIME)",Model Evaluation and Selection,Data scientist,Sub-sub-skill
"Model Selection Criteria (AIC, BIC)",Model Evaluation and Selection,Data scientist,Sub-sub-skill
Model Deployment Strategies,Model Evaluation and Selection,Data scientist,Sub-sub-skill
Model Evaluation and Selection,Deep Learning,Data scientist,Sub-skill
Perceptron,Neural Networks,Data scientist,Sub-sub-skill
"Regularization Techniques (Dropout, Batch Normalization)",Neural Networks,Data scientist,Sub-sub-skill
Multilayer Perceptron (MLP),Neural Networks,Data scientist,Sub-sub-skill
Loss Functions,Neural Networks,Data scientist,Sub-sub-skill
"Activation Functions (ReLU, Sigmoid, Tanh)",Neural Networks,Data scientist,Sub-sub-skill
Vanishing/Exploding Gradients,Neural Networks,Data scientist,Sub-sub-skill
Backpropagation,Neural Networks,Data scientist,Sub-sub-skill
Weight Initialization,Neural Networks,Data scientist,Sub-sub-skill
"Optimization Algorithms (Adam, SGD)",Neural Networks,Data scientist,Sub-sub-skill
Neural Networks,Deep Learning,Data scientist,Sub-skill
Convolutional Layers,Convolutional Neural Networks (CNNs),Data scientist,Sub-sub-skill
Image Segmentation,Convolutional Neural Networks (CNNs),Data scientist,Sub-sub-skill
Pooling Layers,Convolutional Neural Networks (CNNs),Data scientist,Sub-sub-skill
Transfer Learning,Convolutional Neural Networks (CNNs),Data scientist,Sub-sub-skill
"CNN Architectures (LeNet, AlexNet, VGGNet, ResNet, Inception)",Convolutional Neural Networks (CNNs),Data scientist,Sub-sub-skill
Data Augmentation,Convolutional Neural Networks (CNNs),Data scientist,Sub-sub-skill
Image Classification,Convolutional Neural Networks (CNNs),Data scientist,Sub-sub-skill
CNN Visualization,Convolutional Neural Networks (CNNs),Data scientist,Sub-sub-skill
"Object Detection (YOLO, SSD, Faster R-CNN)",Convolutional Neural Networks (CNNs),Data scientist,Sub-sub-skill
Convolutional Neural Networks (CNNs),Deep Learning,Data scientist,Sub-skill
Recurrent Neural Networks (RNNs),Deep Learning,Data scientist,Sub-skill
